ID	sample_number	depth	depth_to	CaO (%)	MgO (%)	Al2O3 (%)	SiO2 (%)	delta13C [permil]	delta18O [permil]	Cl (%)	Dry density (kg/m3)	Fe2O3 (%)	FeO (%)	Grain density (kg/m3)	Insoluble Residue (%)	K2O (%)	LOI (%)	MnO (%)	Na2O (%)	P-wave velocity (m/sec in dry sample)	P-wave velocity (m/sec in wet sample)	P2O5 (%)	Porosity (%)	S (%)	SUM (%)	TiO2 (%)	Conochitina cucumis	Cyathochitina jagovalensis	Euconochitina primitiva	Desmochitina minor s.l.	Rhabdochitina gracilis	Lagenochitina esthonica	Cyathochitina calix	Euconochitina aff. symmetrica	Cyathochitina hunderumensis	Lagenochitina tumida s.l.	Desmochitina cocca	Desmochitina erinacea	Desmochitina ovulum	Calpichitina complanata	Cyathochitina cf. varennensis	Conochitina decipiens	Desmochitina piriformis	Cyathochitina campanulaeformis	Belonechitina sp. A	Angochitina sp. B	Desmochitina grandicolla	Desmochitina elongata	Belonechitina crinita	Desmochitina amphorea	Belonechitina micracantha	Belonechitina sp. 1 (prototuberculata)	Pistillachitina pistillifrons	Tanuchitina tallinnensis?	Baltochitina delicata	Belonechitina capitata	Desmochitina rugosa	Laufeldochitina striata	Cyathochitina sebyensis	Conochitina clavaherculi	Pterochitina retracta	Rhabdochitina magna	Belonechitina pellifera	Conochitina aff. dolosa	Cyathochitina kuckersiana	Baltochitina nolvaki	Belonechitina cactacea	Belonechitina synclinalis	Conochitina minnesotensis	Conochitina dolosa	Conochitina tuberculata	Pistillachitina elegans	Laufeldochitina stentor	Conochitina savalensis sp. nov.	Euconochitina conulus	Spinachitina suecica	Eisenackitina rhenana	Conochitina viruana sp. nov.	Desmochitina holosphaerica	Conochitina tigrina	Rhabdochitina sp. 2 (parallela)	Cyathochitina giraffa	Lagenochitina sp. A aff. capax	Armoricochitina granulifera	Lagenochitina dalbyensis	Pistillachitina sp. 1 (ex. gr. differens)	Belonechitina jaanussonii	Belonechitina hirsuta	Desmochitina nodosa	Spinachitina multiradiata	Spinachitina cervicornis	Belonechitina comma	Angochitina multiplex	Clavachitina sp. 1 (oanduensis)	Belonechitina robusta	Cyathochitina patagiata	Rhabdochitina sp. 1 (macilenta)	Spinachitina aff. coronata	Belonechitina micracantha barbata	Belonechitina villosa	Fungochitina spinifera	Cyathochitina angusta	Belonechitina wesenbergensis brevis	Armoricochitina reticulifera	Lagenochitina baltica	Cyathochitina sp. 3 (costellata)	Conochitina incerta	Cyathochitina aff. giraffa	Lagenochitina cylindrica	Angochitina capillata	Lagenochitina prussica	Belonechitina wesenbergensis elongata	Saharochitina fungiformis	Cyathochitina costata	Conochitina vormsiensis nom. nud.	Spinachitina coronata	Tanuchitina bergstroemi	Ancyrochitina ancyrea	Conochitina sp. 3 (lagenoformis)	Conochitina rugata	Tanuchitina anticostiensis	Ancyrochitina laevaensis	Plectochitina nodifera	Plectochitina spongiosa	Belonechitina aspera	Belonechitina postrobusta	Euconochitina electa	Conochitina iklaensis	Ancyrochitina bifurcaspina	Conochitina edjelensis	Ancyrochitina convexa	Conochitina elongata	Conochitina alargada	Rhabdochitina sp. 2 (Nestor et al., 2003)	Conochitina malleus	Belonechitina oeselensis	Ancyrochitina rumbaensis	Conochitina praeproboscifera	Conochitina emmastensis	Eisenackitina dolioliformis	Eisenackitina causiata 	Angochitina hansonica	Belonechitina cavei	Bursachitina conica	Conochitina leviscapulae	Rhabdochitina sp. (Loydell et al., 2005)	Ancyrochitina porrectaspina	Bursachitina nestorae	Conochitina leptosoma	Ancyrochitina mullinsi	Belonechitina meifodensis	Angochitina longicollis	Eisenackitina inanulifera	Conochitina proboscifera	Calpichitina densa	Plectochitina pachyderma	Ancyrochitina vikiensis	Ancyrochitina ansarviensis	Ramochitina ruhnuensis	Plectochitina magna	Margachitina banwyensis	Conochitina visbyensis	Ramochitina angusta	Conochitina acuminata	Anthochitina primula	Conochitina flamma	Margachitina margaritana	Ramochitina nestorae	Calpichitina opaca	Ancyrochitina digitata	Conochitina aff. tuba	Conochitina claviformis	Conochitina mamilla	Conochitina tuba	Clathrochitina clathrata	Conochitina aff. pachycephala	Eisenackitina spongiosa	Conochitina argillophila
108564	108564	229.7						-0.33	-4.86																		0																																																																																																																																																								
108565	108565	230.8						-0.07	-4.73																		0																																																																																																																																																								
108566	108566	231.6						-0.6	-4.72																		0																																																																																																																																																								
102327	102327	231.6		41.855	1.965	4.84	15.19			0.023		1.62	0.1		16.7	2.08	29.44	0.025	0.07			0.00788		0.159	97.32588	0.233	0																																																																																																																																																								
108567	108567	232.55						-0.94	-4.93																		0																																																																																																																																																								
108568	108568	233.45						-1.07	-4.44																		0																																																																																																																																																								
108569	108569	234.4						-0.8	-5.01																		0																																																																																																																																																								
102328	102328	235.35		43.21	1.785	4.16	13.81			0.026	2481	1.45	0.07	2680	16.76	1.69	28.59	0.027	0.08			0.00536	7.42	0.166	96.57536	0.193	0																																																																																																																																																								
108570	108570	235.35						-0.28	-4.01																		0																																																																																																																																																								
108571	108571	236.6						-1.29	-5.12																		0																																																																																																																																																								
108572	108572	237.7						-1.11	-4.64																		0																																																																																																																																																								
97866	OM10-49	238.2						-0.71																			0																																																																																																																																																								
108573	108573	238.5						-0.07	-4.13																		0																																																																																																																																																								
97865	OM10-48	238.62						-0.1																			0																																																																																																																																																								
102329	102329	238.7		41.71	2.08	4.46	16.57			0.025		1.6	0.03		16.56	1.94	29.5	0.021	0.08			0.00598		0.204	97.62398	0.217	0																																																																																																																																																								
97864	OM10-47	239.07						-0.95																			0																																																																																																																																																								
97863	OM10-46	239.45						-1.07																			0																																																																																																																																																								
108574	108574	239.5						-1	-4.13																		0																																																																																																																																																								
97862	OM10-45	239.85						-0.05																			0																																																																																																																																																								
97861	OM10-44	240.2						0.33																			0																																																																																																																																																								
97860	OM10-43	240.53						1.05																			0																																																																																																																																																								
97859	OM10-42	240.88						1.22																			0																																																																																																																																																								
97858	OM10-41	241.14						1.27																			0																																																																																																																																																								
97857	OM10-40	241.4						1.23																			0																																																																																																																																																								
97856	OM10-39	241.69						1.39																			0																																																																																																																																																								
97855	OM10-38	241.91						1.26																			0																																																																																																																																																								
102330	102330	242.15		50.615	0.495	0.73	4.58			0.02		0.24	0.04		6.42	0.44	40.36	0.013	0.03	5939	5950	0.00319		0.052	97.86319	0.027	0																																																																																																																																																								
97854	OM10-37	242.15						1.6																			0																																																																																																																																																								
97853	OM10-36	242.3						1.97																			0																																																																																																																																																								
97852	OM10-35	242.51						2.27																			0																																																																																																																																																								
97851	OM10-34	242.69						2.48																			0																																																																																																																																																								
97850	OM10-33	242.79						2.77																			0																																																																																																																																																								
97849	OM10-32	242.81						2.53																			0																																																																																																																																																								
97848	OM10-31	242.87						2.75																			0																																																																																																																																																								
97847	OM10-30	242.97						2.91																			0																																																																																																																																																								
97846	OM10-29	243.11						3.17																			0																																																																																																																																																								
108668	C08-67i	243.25						3.11	-5.33																		0																																																																																																																																																								
97845	OM10-28	243.3						3.2																			0																																																																																																																																																								
102331	102331	243.35		36.33	10.245	0.7	5.26			0.051	2638	1.27	0.06	2728	10.3	0.34	36.24	0.062	0.03	5075	5355	0.00822	3.31	0.143	91.17722	0.047	0																																																																																																																																																								
97844	OM10-27	243.45						3.17																			0																																																																																																																																																								
108669	C08-68i	243.57						3.23	-4.77																		0																																																																																																																																																								
97843	OM10-26	243.7						3.32																			0																																																																																																																																																								
97842	OM10-25	243.79						3.14																			0																																																																																																																																																								
97841	OM10-24	243.96						3.51																			0																																																																																																																																																								
97840	OM10-23	244.08						4.13																			0																																																																																																																																																								
97839	OM10-22	244.11						4.64																			0																																																																																																																																																								
97838	OM10-21	244.23						4.68																			0																																																																																																																																																								
97837	OM10-20	244.37						5.03																			0																																																																																																																																																								
108670	C08-69i	244.52						5.26	-2.02																		0																																																																																																																																																								
97836	OM10-19	244.59						5.17																			0																																																																																																																																																								
97835	OM10-18	244.67						4.78																			0																																																																																																																																																								
97834	OM10-17	244.8	244.8					4.59																			0																																																																																																																																																								
102332	102332	244.8		53.47	0.35	0.27	1.2			0.027	2638	0.16	0.17	2667	1.58	0.12	42.6	0.012	0.02	5260	5948	0.01842	1.1	0.025	98.35142	0.011	0																																																																																																																																																								
97833	OM10-16	244.92						4.79																			0																																																																																																																																																								
97832	OM10-15	245.06						4.48																			0																																																																																																																																																								
97831	OM10-14A	245.11						4.43																			0																																																																																																																																																								
97830	OM10-14	245.14						3.37																			0																																																																																																																																																								
97829	OM10-13	245.24						2.74																			0																																																																																																																																																								
108671	C08-70i	245.41						2.18	-4.73																		0																																																																																																																																																								
97828	OM10-12	245.54						2.26																			0																																																																																																																																																								
97827	OM10-11	245.7						2.08																			0																																																																																																																																																								
97826	OM10-10	245.87						1.98																			0																																																																																																																																																								
97825	OM10-9	246.01						1.47																			0																																																																																																																																																								
97877	OM10-60	246.1						0.22																			0																																																																																																																																																								
97876	OM10-59	246.13						-0.8																			0																																																																																																																																																								
97824	OM10-8	246.19						-0.66																			0																																																																																																																																																								
97875	OM10-58	246.3						-0.61																			0																																																																																																																																																								
97874	OM10-57	246.38						-0.41																			0																																																																																																																																																								
108672	C08-71i	246.44						-0.37	-3																		0																																																																																																																																																								
97873	OM10-56	246.5						-0.05																			0																																																																																																																																																								
97823	OM10-7	246.6						0.55																			0																																																																																																																																																								
97872	OM10-55	246.7						0.77																			0																																																																																																																																																								
97822	OM10-6	246.83						0.61																			0																																																																																																																																																								
97871	OM10-54	246.88						0.74																			0																																																																																																																																																								
97821	OM10-5	246.92						-0.53																			0																																																																																																																																																								
108673	C08-72i	247.05						-0.29	-3.04																		0																																																																																																																																																								
97820	OM10-4	247.1						-0.6																			0																																																																																																																																																								
97870	OM10-53	247.2						-0.14																			0																																																																																																																																																								
97869	OM10-52	247.25						-0.06																			0																																																																																																																																																								
97819	OM10-3	247.3						0.87																			0																																																																																																																																																								
102333	102333	247.3		38.575	3.305	2.84	10.6			0.027	2551	0.99	0.04	2685	11	1.15	37	0.022	0.07	4186	4701	0.00874	5	0.101	99.33174	0.121	0																																																																																																																																																								
97868	OM10-51	247.37						0.37																			0																																																																																																																																																								
97867	OM10-50	247.4						-0.06																			0																																																																																																																																																								
97818	OM10-2	247.55						0.49																			0																																																																																																																																																								
97817	OM10-1	247.8						0.43																			0																																																																																																																																																								
102334	102334	248.25		48.58	1.46	1.7	6.06			0.009	2602	0.56	0.14	2686	8.02	0.66	39.44	0.016	0.04	4700	5341	0.00583	3.13	0.054	99.21483	0.073	0																																																																																																																																																								
102335	102335	249.6		48.325	2.23	1.19	4.5			0.022	2623	0.55	0.05	2700	6.16	0.55	40.7	0.028	0.03	4883	5345	0.00517	2.87	0.098	98.52217	0.049	0																																																																																																																																																								
102336	102336	249.85		49.215	1.525	1.23	4.67			0.02	2606	0.77	0.04	2693	6.56	0.58	39.73	0.033	0.03	4542	5132	0.00389	3.22	0.193	98.13289	0.056	0																																																																																																																																																								
108674	C08-73i	250.33						-0.48	-4.53																		0																																																																																																																																																								
108675	C08-74i	251.21						-0.2	-4.65																		0																																																																																																																																																								
108676	C08-75i	252.21						-0.13	-3.37																		0																																																																																																																																																								
108677	C08-76i	253.33						-0.57	-4.88																		0																																																																																																																																																								
102337	102337	253.45		52.245	1.125	0.51	1.98			0.022	2648	0.36	0.01	2676	2.6	0.23	42.16	0.025	0.02	5536	5819	0.0039	1.02	0.047	98.5219	0.023	0																																																																																																																																																								
108678	C08-77i	254.15						-0.61	-4.84																		0																																																																																																																																																								
108679	C08-78i	254.75						-0.52	-4.59																		0																																																																																																																																																								
108680	C08-79i	256.1						-0.68	-5.26																		0																																																																																																																																																								
102338	102338	256.35		50.23	1.175	1.01	4.02			0.026	2602	0.41	0.04	2672	5.84	0.45	41.01	0.025	0.03	5037	5469	0.00432	2.62	0.048	98.87532	0.046	0																																																																																																																																																								
108681	C08-80i	257.16						-0.93	-4.99																		0																																																																																																																																																								
108682	C08-81i	258						-1.18	-5.13																		0																																																																																																																																																								
102339	102339	259.2		49.87	1.165	1.14	4.36			0.024	2587	0.44	0.07	2673	5.58	0.51	40.74	0.028	0.02	5018	5592	0.00479	3.21	0.056	98.91179	0.049	0																																																																																																																																																								
108683	C08-82i	259.35						-1.23	-4.86																		0																																																																																																																																																								
108684	C08-83i	260						-1.08	-6																		0																																																																																																																																																								
108685	C08-84i	261.4						-1.24	-5.29																		0																																																																																																																																																								
108686	C08-85i	262.19						-1.25	-5.98																		0																																																																																																																																																								
102340	102340	262.45		51.905	0.95	0.63	2.28			0.026	2633	0.28	0.09	2678	3.14	0.26	42.06	0.023	0.02	5482	5974	0.00391	1.68	0.042	98.64491	0.028	0																																																																																																																																																								
108687	C08-86i	263.38						-1.15	-5.31																		0																																																																																																																																																								
108688	C08-87i	264.16						-0.84	-6.05																		0																																																																																																																																																								
108689	C08-88i	265.23						-0.98	-5.99																		0																																																																																																																																																								
102341	102341	265.95		51.765	0.765	0.62	2.3			0.03	2629	0.31	0.08	2680	3.06	0.26	42.1	0.037	0.03	5048	5618	0.0077	1.9	0.036	98.6007	0.026	0																																																																																																																																																								
108690	C08-89i	266.11						-0.69	-5.58																		0																																																																																																																																																								
108691	C08-90i	267.3						-0.56	-5.52																		0																																																																																																																																																								
108692	C08-91i	267.95						-0.35	-5.25																		0																																																																																																																																																								
102342	102342	268.05		49.195	1.445	2.43	8.73			0.032	2569	0.91	0.15	2693	2.28	1.1	37.59	0.047	0.05	4361	5046	0.0087	4.61	0.117	98.3487	0.113	0																																																																																																																																																								
108693	C08-92i	268.91						-0.29	-5.16																		0																																																																																																																																																								
108694	C08-93i	270.25						0.35	-3.35																		0																																																																																																																																																								
102343	102343	270.6		51.79	0.5	0.89	3.41			0.021	2612	0.27	0.16	2678	4	0.4	41.16	0.043	0.03	5103	5583	0.00322	2.49	0.011	98.86722	0.041	0																																																																																																																																																								
108695	C08-94i	271.02						0.89	-4.71																		0																																																																																																																																																								
108696	C08-95i	271.78						1.3	-4.14																		0																																																																																																																																																								
108697	C08-96i	273						1.58	-4.46																		0																																																																																																																																																								
102344	102344	273.2		52.285	0.49	0.57	1.73			0.023	2655	0.24	0.06	2684	2.2	0.24	42.16	0.04	0.02	5821	6149	0.0051	1.1	0.013	97.9291	0.024	0																																																																																																																																																								
108698	C08-97i	273.92						1.75	-4.48																		0																																																																																																																																																								
108699	C08-98i	274.85						1.52	-4.55																		0																																																																																																																																																								
102345	102345	275.25		52.385	0.595	0.64	1.93			0.018	2638	0.29	0.05	2671	2.54	0.25	41.96	0.052	0.02	5688	6205	0.00652	1.24	0.012	98.78452	0.026	0																																																																																																																																																								
108700	C08-99i	276.3						1.53	-4.99																		0																																																																																																																																																								
102346	102346	276.75		51.675	1.155	0.73	2.54			0.018	2568	0.405	0.03	2681	3.58	0.31	41.63	0.038	0.02	3736	5064	0.0138	4.21	0.049	98.4958	0.034	0																																																																																																																																																								
108701	C08-100i	277.02						1.52	-4.23																		0																																																																																																																																																								
108702	C08-101i	277.87						1.37	-3.61																		0																																																																																																																																																								
102347	102347	278.7		46.96	1.67	1.91	6.73			0.022	2586	0.88	0.05	2685	9.66	0.83	38.81	0.043	0.04	4478	4946	0.01244	3.71	0.092	98.49844	0.093	0																																																																																																																																																								
108703	C08-102i	278.9						1.44	-3.44																		0																																																																																																																																																								
108704	C08-103i	279.8						2.31	-3.64																		0																																																																																																																																																								
108705	C08-104i	281.15						1.81	-5.68																		0																																																																																																																																																								
102348	102348	281.15		52.69	0.86	0.47	1.76			0.018	2654	0.28	0.06	2683	2.28	0.2	42.16	0.034	0.02	5504	6002	0.01483	1.1	0.022	98.15083	0.022	0																																																																																																																																																								
108706	C08-105i	281.67						1.64	-5.6																		0																																																																																																																																																								
108707	C08-106i	282.65						2.34	-3.49																		0																																																																																																																																																								
108708	C08-107i	284.15						2.16	-6.08																		0																																																																																																																																																								
108709	C08-108i	284.86						2.49	-5.89																		0																																																																																																																																																								
108710	C08-109i	285.73						2.38	-5.77																		0																																																																																																																																																								
108711	C08-110i	286.77						2.73	-5.64																		0																																																																																																																																																								
102349	102349	287.15		50.195	0.965	1.24	4.6			0.027	2542	0.61	0.08	2688	5.92	0.55	40.47	0.057	0.03	3381	4013	0.02591	5.42	0.084	99.18791	0.055	0																																																																																																																																																								
108712	C08-111i	287.45						2.44	-4.43																		0																																																																																																																																																								
102350	102350	288.5		52.995	0.46	0.23	0.91			0.043	2656	0.77	0.08	2689	1.84	0.1	40.17	0.078		5714	6239	0.00893	1.25	0.42	96.27493	0.008	0																																																																																																																																																								
102351	102351	288.7		47.025	1.495	1.88	7.33			0.023	2591	0.77	0.11	2663	9.66	0.87	38.52	0.053	0.04	4425	4973	0.01305	2.71	0.066	98.49905	0.093	0																																																																																																																																																								
108713	C08-112i	288.88						1.62	-4.97																		0																																																																																																																																																								
108714	C08-113i	289.75						1.3	-4.04																		0																																																																																																																																																								
102352	102352	291.3		21.39	4.075	8.97	33.45			0.064		3.77	0.61		44.92	3.82	22.15	0.075	0.18			0.04518		0.133	98.66518	0.455	0																																																																																																																																																								
108715	C08-114i	291.6						0.95	-3.21																		0																																																																																																																																																								
108716	C08-115i	292.52						1.01	-3.11																		0																																																																																																																																																								
108619	C08-116i	293.48						1.13	-3.07																		0																																																																																																																																																								
108717	C08-116i	293.48						1.26	-3.11																		0																																																																																																																																																								
108620	C08-117i	294.43						1.55	-2.49																		0																																																																																																																																																								
102353	102353	295.05		20.915	5.06	9.67	35.49			0.057	2343	4.47	0.14	2720	43.02	3.75	22.82	0.067	0.2		2800	0.03654	13.87	0.06	102.89954	0.416	0																																																																																																																																																								
108621	C08-118i	295.28						1.59	-2.95																		0																																																																																																																																																								
102354	102354	295.65		16.385	5.42	10.55	38.41			0.062	2482	4.75	0.21	2761	50.44	4.28	19.52	0.059	0.21			0.0433	10.1	0.124	100.1293	0.477	0																																																																																																																																																								
108622	C08-119i	296.23						1.4	-2.93																		0																																																																																																																																																								
108623	C08-120i	297.36						1.26	-2.99																		0																																																																																																																																																								
108624	C08-121i	298						1.02	-3.07																		0																																																																																																																																																								
108625	C08-122i	298.42						1.17	-3.22																		0																																																																																																																																																								
108626	C08-123i	299.55						1.27	-4.31																		0																																																																																																																																																								
102355	102355	299.65		37.05	1.235	5.29	20.84			0.036		1.5	0.04		27.32	2.62	30.51	0.077	0.1			0.02839		0.239	99.83139	0.256	0																																																																																																																																																								
108627	C08-124i	300.24						1.49	-4.18																		0																																																																																																																																																								
108628	C08-125i	301.34						1.99	-4.46																		0																																																																																																																																																								
102356	102356	301.55		53.01	0.425	0.36	1.38			0.027	2594	0.22	0.12	2661	1.94	0.19	42.31	0.031	0.02	5354	5835	0.01685	2.49	0.063	97.99285	0.015	0																																																																																																																																																								
108629	C08-126i	302.16						1.76	-5.97																		0																																																																																																																																																								
108630	C08-127i	303.32						1.96	-4.81																		0																																																																																																																																																								
102357	102357	303.5		53.405	0.39	0.22	0.84			0.015	2631	0.2	0.18	2671	1.88	0.12	42.79	0.026	0.01	5824	6031	0.00841	1.47	0.069	98.36341	0.009	0																																																																																																																																																								
108631	C08-128i	304.5						1.95	-4.65																		0																																																																																																																																																								
102358	102358	305.05		53.26	0.49	0.23	0.89			0.017	2601	0.18	0.1	2666	1.52	0.14	42.9	0.023	0.01	5858	6135	0.00994	2.41	0.05	98.47194	0.009	0																																																																																																																																																								
108632	C08-129i	305.31						2.03	-4.83																		0																																																																																																																																																								
108633	C08-130i	306.27						2	-4.98																		0																																																																																																																																																								
102359	102359	307.25		52.21	1.83	0.19	0.72			0.022	2532	0.28	0.08	2684	1.18	0.11	43.14	0.035	0.01	4963	5293	0.00787	5.67	0.041	98.43187	0.009	0																																																																																																																																																								
108634	C08-131i	307.64						2.22	-5.33																		0																																																																																																																																																								
108635	C08-132i	308.47						2.06	-5.52																		0																																																																																																																																																								
108636	C08-133i	309.58						2.42	-5.14																		0																																																																																																																																																								
102360	102360	310		50.565	2.24	0.24	0.93			0.022	2468	0.44	0.06	2650	1.46	0.13	43.17	0.045	0.01	4850	4947	0.01015	6.85	0.048	97.38715	0.012	0																																																																																																																																																								
108637	C08-134i	310.48						2.83	-5																		0																																																																																																																																																								
108638	C08-135i	311.25						2.32	-5.22																		0																																																																																																																																																								
108639	C08-136i	312.33						2.98	-4.68																		0																																																																																																																																																								
108640	C08-137i	313.38						3.17	-4.36																		0																																																																																																																																																								
102361	102361	313.6		47.59	3.995	0.34	1.34			0.077	2495	0.54	0.01	2669	1.78	0.2	43.49	0.063	0.02	4512	4832	0.01364	6.51	0.057	96.50864	0.012	0																																																																																																																																																								
108641	C08-138i	314.45						2.48	-4.74																		0																																																																																																																																																								
108642	C08-139i	315.55						2.09	-3.87																		0																																																																																																																																																								
102362	102362	316.25		50.305	2.245	0.37	1.48			0.03	2355	0.49	0.06	2600	2.28	0.2	42.77	0.04	0.03	4540	4473	0.01638	9.42	0.08	97.79138	0.015	0																																																																																																																																																								
108643	C08-140i	316.54						2.16	-3.82																		0																																																																																																																																																								
108644	C08-141i	317.62						2.31	-4.81																		0																																																																																																																																																								
102363	102363	318.3		51.36	0.52	0.21	0.82			0.028	2589	0.275	0.03	2675	1.32	0.13	42.97	0.03	0.02	5602	5931	0.00978	3.21	0.047	98.23878	0.009	0																																																																																																																																																								
108645	C08-142i	318.63						2.01	-4.77																		0																																																																																																																																																								
108646	C08-143i	319.62						1.4	-3.67																		0																																																																																																																																																								
102364	102364	319.9		46.725	0.85	2.45	9.13			0.024	2586	0.87	0.1	2664	11.12	1.29	37.7	0.147	0.06	4199	4849	0.09912	2.93	0.092	99.63512	0.099	0																																																																																																																																																								
108647	C08-144i	320.67						1.1	-4.33																		0																																																																																																																																																								
108648	C08-145i	321.61						0.81	-4.62																		0																																																																																																																																																								
102365	102365	321.75		49.615	0.53	1.58	5.91			0.022	2616	0.45	0.22	2695	7.48	0.92	39.42	0.074	0.04	5118	5501	0.51527	2.93	0.039	99.28727	0.068	0																																																																																																																																																								
108649	C08-146i	322.46						0.2	-5.08																		0																																																																																																																																																								
108650	C08-147i	323.56						0.22	-4.11																		0																																																																																																																																																								
108651	C08-148i	324.63						0.82	-3.74																		0																																																																																																																																																								
102366	102366	324.7		52.06	0.47	0.67	2.48			0.017	2648	0.39	0.06	2694	3.78	0.34	41.47	0.04	0.02	5664	6097	0.01014	1.69	0.103	98.30014	0.03	0																																																																																																																																																								
108652	C08-149i	325.47						0.09	-4.68																		0																																																																																																																																																								
108653	C08-150i	326.5						0.86	-3.04																		0																																																																																																																																																								
102367	102367	327.25		45.97	0.665	2.49	9.53			0.02	2543	1.13	0.04	2689	13.54	1.4	36.48	0.047	0.05	4195	4636	0.00972	5.42	0.229	98.16072	0.104	0																																																																																																																																																								
108654	C08-151i	327.43						-0.03	-3.59																		0																																																																																																																																																								
102368	102368	328		41.465	1.38	2.28	12.3			0.026	2583	1.16	0.02	2702	21.26	1.46	33.16	0.059	0.05	4500	4922	0.02307	4.39	0.161	94.63507	0.143	0																																																																																																																																																								
