ID	sample_number	depth	depth_to	CaO (%)	MgO (%)	Al2O3 (%)	SiO2 (%)	delta13C [permil]	delta18O [permil]	Cl (%)	Dry density (kg/m3)	Fe2O3 (%)	FeO (%)	Grain density (kg/m3)	Insoluble Residue (%)	K2O (%)	LOI (%)	MnO (%)	Na2O (%)	P-wave velocity (m/sec in dry sample)	P-wave velocity (m/sec in wet sample)	P2O5 (%)	Porosity (%)	S (%)	SUM (%)	TiO2 (%)	Conochitina cucumis	Cyathochitina jagovalensis	Euconochitina primitiva	Desmochitina minor s.l.	Rhabdochitina gracilis	Lagenochitina esthonica	Cyathochitina calix	Euconochitina aff. symmetrica	Cyathochitina hunderumensis	Lagenochitina tumida s.l.	Desmochitina cocca	Desmochitina erinacea	Desmochitina ovulum	Calpichitina complanata	Cyathochitina cf. varennensis	Conochitina decipiens	Desmochitina piriformis	Cyathochitina campanulaeformis	Belonechitina sp. A	Angochitina sp. B	Desmochitina grandicolla	Desmochitina elongata	Belonechitina crinita	Desmochitina amphorea	Belonechitina micracantha	Belonechitina sp. 1 (prototuberculata)	Pistillachitina pistillifrons	Tanuchitina tallinnensis?	Baltochitina delicata	Belonechitina capitata	Desmochitina rugosa	Laufeldochitina striata	Cyathochitina sebyensis	Conochitina clavaherculi	Pterochitina retracta	Rhabdochitina magna	Belonechitina pellifera	Conochitina aff. dolosa	Cyathochitina kuckersiana	Baltochitina nolvaki	Belonechitina cactacea	Belonechitina synclinalis	Conochitina minnesotensis	Conochitina dolosa	Conochitina tuberculata	Pistillachitina elegans	Laufeldochitina stentor	Conochitina savalensis sp. nov.	Euconochitina conulus	Spinachitina suecica	Eisenackitina rhenana	Conochitina viruana sp. nov.	Desmochitina holosphaerica	Conochitina tigrina	Rhabdochitina sp. 2 (parallela)	Cyathochitina giraffa	Lagenochitina sp. A aff. capax	Armoricochitina granulifera	Lagenochitina dalbyensis	Pistillachitina sp. 1 (ex. gr. differens)	Belonechitina jaanussonii	Belonechitina hirsuta	Desmochitina nodosa	Spinachitina multiradiata	Spinachitina cervicornis	Belonechitina comma	Angochitina multiplex	Clavachitina sp. 1 (oanduensis)	Belonechitina robusta	Cyathochitina patagiata	Rhabdochitina sp. 1 (macilenta)	Spinachitina aff. coronata	Belonechitina micracantha barbata	Belonechitina villosa	Fungochitina spinifera	Cyathochitina angusta	Belonechitina wesenbergensis brevis	Armoricochitina reticulifera	Lagenochitina baltica	Cyathochitina sp. 3 (costellata)	Conochitina incerta	Cyathochitina aff. giraffa	Lagenochitina cylindrica	Angochitina capillata	Lagenochitina prussica	Belonechitina wesenbergensis elongata	Saharochitina fungiformis	Cyathochitina costata	Conochitina vormsiensis nom. nud.	Spinachitina coronata	Tanuchitina bergstroemi	Ancyrochitina ancyrea	Conochitina sp. 3 (lagenoformis)	Conochitina rugata	Tanuchitina anticostiensis	Ancyrochitina laevaensis	Plectochitina nodifera	Plectochitina spongiosa	Belonechitina aspera	Belonechitina postrobusta	Euconochitina electa	Conochitina iklaensis	Ancyrochitina bifurcaspina	Conochitina edjelensis	Ancyrochitina convexa	Conochitina elongata	Conochitina alargada	Rhabdochitina sp. 2 (Nestor et al., 2003)	Conochitina malleus	Belonechitina oeselensis	Ancyrochitina rumbaensis	Conochitina praeproboscifera	Conochitina emmastensis	Eisenackitina dolioliformis	Eisenackitina causiata 	Angochitina hansonica	Belonechitina cavei	Bursachitina conica	Conochitina leviscapulae	Rhabdochitina sp. (Loydell et al., 2005)	Ancyrochitina porrectaspina	Bursachitina nestorae	Conochitina leptosoma	Ancyrochitina mullinsi	Belonechitina meifodensis	Angochitina longicollis	Eisenackitina inanulifera	Conochitina proboscifera	Calpichitina densa	Plectochitina pachyderma	Ancyrochitina vikiensis	Ancyrochitina ansarviensis	Ramochitina ruhnuensis	Plectochitina magna	Margachitina banwyensis	Conochitina visbyensis	Ramochitina angusta	Conochitina acuminata	Anthochitina primula	Conochitina flamma	Margachitina margaritana	Ramochitina nestorae	Calpichitina opaca	Ancyrochitina digitata	Conochitina aff. tuba	Conochitina claviformis	Conochitina mamilla	Conochitina tuba	Clathrochitina clathrata	Conochitina aff. pachycephala	Eisenackitina spongiosa	Conochitina argillophila
102252	102252	71.8		28.17	19.71	1.66	3.4			0.059	2491	0.62	0.07	2688	4.28	0.54	44.43	0.028	0.01	5085	5295	0.04629	7.35	0.205	98.48529	0.061	0																																																																																																																																																								
102253	102253	75.8		29.65	20.465	0.55	1.17			0.088	2311	0.31	0.19	2558	1.84	0.2	46.02	0.035	0	5171	5518	0.01725	9.64	0.06	98.70725	0.025	0																																																																																																																																																								
102254	102254	77.1		29.875	20.615	0.39	0.95			0.103	2324	0.27	0.1	2534	1.38	0.14	46.2	0.028	0.01	5291	5395	0.02686	8.27	0.084	98.83386	0.019	0																																																																																																																																																								
102255	102255	81.3		29.345	20.2	0.69	2.32			0.064	2407	0.54	0.35	2641	3.36	0.26	43.11	0.032	0.01	4963	4985	0.04881	8.85	0.224	96.80981	0.039	0																																																																																																																																																								
102256	102256	82.1		29.54	20.535	0.32	1.08			0.102	2273	0.34	0.07	2511	1.58	0.12	45.76	0.03	0	5064	5198	0.04877	9.48	0.15	97.81677	0.018	0																																																																																																																																																								
102257	102257	84.9		27.405	18.095	2.28	7.08			0.048	2318	1.01	0.46	2614	8.24	0.71	42.04	0.04	0.01	4401	4408	0.04932	11.31	0.269	98.86032	0.101	0																																																																																																																																																								
102258	102258	88.1		29.82	17.03	1.64	5.45			0.023	2274	0.79	0.09	2549	6.54	0.56	42.68	0.032	0.02	4292	4608	0.0448	10.78	0.279	97.9418	0.075	0																																																																																																																																																								
102259	102259	88.7		29.615	18.76	0.98	3.47			0.098	2182	1.05	0.31	2506	4.34	0.36	44.06	0.051	0.02	4195	3954	0.03408	12.92	0.214	98.29608	0.051	0																																																																																																																																																								
102260	102260	90		29.385	14.33	3.07	9.83			0.026	2377	1.02	0.24	2673	11.82	1.04	39.89	0.036	0.03	4132	4388	0.02989	11.06	0.277	97.90389	0.128	0																																																																																																																																																								
102261	102261	91.25		25.935	15.18	4.18	12.86			0.019	2332	1.49	0.47	2783	15.98	1.43	37.89	0.033	0.03	3861	4028	0.05258	16.2	0.479	99.09958	0.164	0																																																																																																																																																								
102262	102262	92.35		40.52	9.56	0.7	2.03			0.019	2516	0.51	0.02	2692	2.98	0.25	43.9	0.038	0.01	5170	5449	0.0193	6.51	0.078	96.8543	0.027	0																																																																																																																																																								
102263	102263	93.1		31.53	17.85	0.81	2.35			0.041	2116	0.71	0.06	2521	2.66	0.27	44.94	0.053	0.02	4048	4288	0.04083	16.05	0.112	98.79383	0.03	0																																																																																																																																																								
102264	102264	94.9		36.57	12.56	0.84	2.38			0.027	2380	0.58	0.03	2620	3.08	0.29	44.03	0.043	0.02	4837	4752	0.03746	9.17	0.103	96.33246	0.032	0																																																																																																																																																								
102265	102265	95.8		36.175	12.645	0.97	2.84			0.062	2430	0.71	0.08	2682	3.56	0.39	43.73	0.046	0.02	4623	4847	0.06423	9.39	0.208	96.95823	0.038	0																																																																																																																																																								
59834	OM4-333	95.93	96.1	35.57	14.71	0.83	2.64					0.87				0.32	44.9	0.04	0.02			0.07				0.03	0																																																																																																																																																								
102266	102266	97.6		34	12.015	2.17	7.19			0.025	2353	0.92	0.03	2622	8.86	0.8	40.96	0.038	0.03	4466	4459	0.035	10.27	0.264	97.688	0.085	0																																																																																																																																																								
59833	OM4-332	98.82	98.97	28.84	11.48	4.37	15.66					1.85				1.64	35.7	0.03	0.06			0.06				0.22	0																																																																																																																																																								
59832	OM4-331	100.88	100.99	36.72	6.66	3.07	11.6					1.87				1.22	38.5	0.03	0.05			0.04				0.16	0																																																																																																																																																								
102267	102267	101.2		39.91	4.86	3.19	10.19			0.024	2496	1.48	0.14	2707	13.5	1.19	36.6	0.037	0.05	3661	4191	0.0625	7.78	0.369	97.0445	0.135	0																																																																																																																																																								
59831	OM4-330	102.8	103	34.11	5.94	4.26	16.8					1.68				1.63	35.1	0.04	0.06			0.03				0.23	0																																																																																																																																																								
59830	OM4-329	104.75	104.85	42.51	3.01	2.54	10.91					1.35				1.02	38.3	0.03	0.04			0.04				0.14	0																																																																																																																																																								
